36,-29.3,-34.7,-117.5,-131.5,173.8,-19.6
104.6,40.6,-91,-125.9,-119.6,132.3,-99.3
55,76.5,-89.6,-125.8,-159.7,90.9,-83.1
19.8,80.4,-73,-84.7,-156.6,62.8,-107.7
45.2,49.5,-24.9,-80.9,-110.8,85.1,-119.6
89.3,-60.1,-60.5,-93.3,-49.8,135.6,-91.6
90.4,-14.8,-58.3,-91.2,-73.9,120.6,-115.4
50.6,78.7,-61.1,-94.9,-118.5,85.3,-101.7
26.1,99.2,-117.9,-112,-158.2,70.2,-101.5
87.3,-5,-54.9,-109.9,-102.5,115,-116.1
74.6,24.1,-74.1,-136.9,-159.8,99.8,-115.7
108.7,-49.6,-54.1,-82,-80.8,108.3,-102.5
